callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
PIA753,,7609a8,AP-BMH,B772,,OERK,2018-12-31 07:03:43+00:00,2019-01-01 01:38:08+00:00,2019-01-01 00:00:00+00:00,35.74287415,139.9484825,5791.2,24.88985223,46.72599361,845.82
CLX7151,,4d010d,LX-YCV,B744,FAOR,EHAM,2018-12-31 07:07:54+00:00,2019-01-01 06:54:59+00:00,2019-01-01 00:00:00+00:00,-26.20402191,28.21690486,1828.8,52.29521942,4.762020111,
UAE776,,89630b,A6-ENI,B77W,OMDB,OMDB,2018-12-31 07:07:57+00:00,2019-01-01 01:16:14+00:00,2019-01-01 00:00:00+00:00,25.2454834,55.36485036,-304.8,25.25327682,55.37010193,-60.96
ETH3720,,04008d,ET-ARK,B77L,VABB,EBLG,2018-12-31 07:14:04+00:00,2019-01-01 03:32:19+00:00,2019-01-01 00:00:00+00:00,19.08948995,72.92215243,304.8,50.65100098,5.465698242,60.96
THT101A,,3a3280,F-OMUA,B789,KLAX,NZAA,2018-12-31 07:14:45+00:00,2019-01-01 00:03:54+00:00,2019-01-01 00:00:00+00:00,33.9450531,-118.4534127,304.8,-37.01028598,174.7926596,-7.62
CCA819,,7812cf,,,NZAA,KLDJ,2018-12-31 07:34:03+00:00,2019-01-01 18:03:51+00:00,2019-01-01 00:00:00+00:00,-37.01422119,174.7783969,-304.8,40.64131165,-74.19726563,297.18
N900GX,,ac6fd8,N900GX,GL5T,YSSY,KDAL,2018-12-31 07:41:19+00:00,2019-01-01 00:50:46+00:00,2019-01-01 00:00:00+00:00,-33.96144104,151.1913813,0,32.82321167,-96.83096924,243.84
CPA383,,780a15,B-KPT,B77W,,LSZH,2018-12-31 07:41:50+00:00,2019-01-01 05:16:50+00:00,2019-01-01 00:00:00+00:00,34.4551733,136.5288162,6096,47.46881104,8.540685654,266.7
UAE2AR,,8960eb,A6-EDJ,A388,OMDB,OMDB,2018-12-31 07:47:41+00:00,2019-01-01 02:33:24+00:00,2019-01-01 00:00:00+00:00,25.24669647,55.37183126,-304.8,25.24705124,55.36234538,-60.96
CAO1023,,780c5d,B-2093,B77L,KLAX,EHAM,2018-12-31 07:50:26+00:00,2019-01-01 14:20:29+00:00,2019-01-01 00:00:00+00:00,33.93406677,-118.4434914,304.8,52.28965759,4.77722168,-129.54
CPA233,,780212,B-KPF,B77W,RJTT,LIMC,2018-12-31 07:57:37+00:00,2019-01-01 05:28:52+00:00,2019-01-01 00:00:00+00:00,35.52945929,139.9001945,609.6,45.63332748,8.720548676,
UAE405,,8963f7,A6-EOZ,A388,YMML,OMDB,2018-12-31 07:58:55+00:00,2019-01-01 00:44:49+00:00,2019-01-01 00:00:00+00:00,-37.6934967,144.8425812,0,25.24000168,55.37588755,-60.96
ETH612,,04000e,ET-ALJ,B763,GOBD,OMDB,2018-12-31 07:59:43+00:00,2019-01-01 00:09:56+00:00,2019-01-01 00:00:00+00:00,14.68753052,-17.07313275,0,25.25497055,55.36781311,-60.96
CSC8391,,7.81E+08,B-8690,A333,,,2018-12-31 08:09:18+00:00,2019-01-01 04:48:37+00:00,2019-01-01 00:00:00+00:00,38.29046631,113.1411808,10972.8,31.70617055,31.10361328,8458.2
UAE1QH,,89618f,A6-EEP,A388,NZAA,OMDB,2018-12-31 08:35:26+00:00,2019-01-01 01:26:58+00:00,2019-01-01 00:00:00+00:00,-37.01261902,174.7841823,-304.8,25.24150085,55.37328084,-60.96
SIA265,,76ce97,9V-STW,A333,YBBN,YBBN,2018-12-31 08:35:39+00:00,2019-01-01 07:03:20+00:00,2019-01-01 00:00:00+00:00,-27.37113306,153.1361037,0,-27.41098022,153.1135012,76.2
CMP472,,0c2065,HP-1725CMP,B738,SBGR,KLAX,2018-12-31 08:38:12+00:00,2019-01-01 00:02:24+00:00,2019-01-01 00:00:00+00:00,-23.42029119,-46.43386841,914.4,33.93891907,-118.367484,121.92
GIA971,,8a0536,PK-GII,B77W,WIII,WIII,2018-12-31 08:41:03+00:00,2019-01-01 06:22:26+00:00,2019-01-01 00:00:00+00:00,-6.121665825,106.6373733,0,-6.097366333,106.6980549,205.74
SIA326,,76cee2,9V-SWB,B77W,KSFO,EDDF,2018-12-31 08:44:10+00:00,2019-01-01 18:53:29+00:00,2019-01-01 00:00:00+00:00,37.62691692,-122.3888895,0,50.03920992,8.506016087,-15.24
AIC161,,800741,,,EGLL,EGLL,2018-12-31 08:48:25+00:00,2019-01-01 06:08:29+00:00,2019-01-01 00:00:00+00:00,51.47755768,-0.470123291,-304.8,51.47769734,-0.426559448,-114.3
B95959,,8990bf,,,,RCSS,2018-12-31 08:53:37+00:00,2019-01-01 00:24:08+00:00,2019-01-01 00:00:00+00:00,-33.07899604,20.64779476,11887.2,25.07135941,121.4998238,106.68
GCR7958,,7810fb,B-8959,A332,NZAA,,2018-12-31 08:55:24+00:00,2019-01-01 01:52:14+00:00,2019-01-01 00:00:00+00:00,-37.0111084,174.7895586,-304.8,38.12456034,114.3268353,7498.08
UPS33,,a76683,N576UP,B744,YSSY,PANC,2018-12-31 09:21:08+00:00,2019-01-01 01:30:37+00:00,2019-01-01 00:00:00+00:00,-33.94010925,151.174005,0,61.19563293,-150.0122288,175.26
CCA151,,780632,B-5508,B738,,RJBB,2018-12-31 09:22:06+00:00,2019-01-01 04:35:55+00:00,2019-01-01 00:00:00+00:00,17.27939929,102.2455869,10058.4,34.42514711,135.2010727,-53.34
AIC184,,8004dc,VT-ALH,B77L,KSFO,VIDP,2018-12-31 09:23:52+00:00,2019-01-01 01:17:12+00:00,2019-01-01 00:00:00+00:00,37.63659978,-122.4181465,304.8,28.53804016,77.10807213,251.46
SIA306,,76cef3,9V-SWS,B77W,,EGLL,2018-12-31 09:26:48+00:00,2019-01-01 08:08:24+00:00,2019-01-01 00:00:00+00:00,37.10760498,114.8341857,9753.6,51.46495056,-0.438042718,-160.02
ETD991,,896356,A6-DDB,B77L,OMAA,PANC,2018-12-31 09:28:26+00:00,2019-01-01 07:17:37+00:00,2019-01-01 00:00:00+00:00,24.42022705,54.77905273,914.4,61.1678009,-150.0333187,198.12
CCA991,,78115f,B-1429,B77W,,CYVR,2018-12-31 09:32:14+00:00,2019-01-01 18:22:58+00:00,2019-01-01 00:00:00+00:00,36.60872637,112.2064664,9448.8,49.20394639,-123.189625,-160.02
HVN37,,8.88E+05,VN-A864,B789,,EDDF,2018-12-31 09:39:03+00:00,2019-01-01 04:17:20+00:00,2019-01-01 00:00:00+00:00,36.77501097,126.4647918,6096,50.04305048,8.578243771,-30.48
SIA612,,76ceeb,9V-SWK,B77W,YSSY,,2018-12-31 10:07:38+00:00,2019-01-01 00:58:18+00:00,2019-01-01 00:00:00+00:00,-33.92642212,151.1706979,0,36.91882324,126.8767207,4724.4
DAL248,,a13391,N177DZ,B763,EHAM,LFPG,2018-12-31 10:09:51+00:00,2019-01-01 09:45:58+00:00,2019-01-01 00:00:00+00:00,52.31516647,4.755306244,-304.8,48.99609375,2.625380296,7.62
UPS15,,a77b6f,N581UP,B744,OMDB,VABB,2018-12-31 10:12:39+00:00,2019-01-01 06:32:22+00:00,2019-01-01 00:00:00+00:00,25.25995416,55.36532852,-304.8,19.08969944,72.87127824,
UAE419,,896189,A6-EEJ,A388,YSSY,OMDB,2018-12-31 10:18:56+00:00,2019-01-01 03:32:17+00:00,2019-01-01 00:00:00+00:00,-33.94100383,151.1746216,0,25.25578774,55.35426446,
THA940,,885106,HS-THF,A359,,LIMC,2018-12-31 10:30:57+00:00,2019-01-01 05:47:27+00:00,2019-01-01 00:00:00+00:00,36.99375993,114.8467752,12192,45.62999725,8.719895526,
GCR7939,,7810c7,B-8659,A332,,YSSY,2018-12-31 10:33:38+00:00,2019-01-01 00:05:15+00:00,2019-01-01 00:00:00+00:00,36.60295389,114.9403674,7620,-33.95375914,151.1778831,0
CPA866,,780ab9,B-LRN,A359,,KIAD,2018-12-31 10:41:11+00:00,2019-01-01 00:14:29+00:00,2019-01-01 00:00:00+00:00,23.38302612,119.9369451,10668,38.94743729,-77.45591205,
